gas_ftir_scan24_replicate1,gas_ftir_scan24_replicate2,gas_ftir_scan24_replicate3,gas_ftir_scan24_replicate4,gas_ftir_scan24_replicate5,gas_ftir_scan24_replicate6,gas_ftir_scan24_replicate7,gas_ftir_scan24_replicate8,gas_ftir_scan24_replicate9
138.6,129.66,119.99,130.66,101.01,100.91,93.13,98.35,100.37
138.55,129.62,119.97,130.6,101.01,100.9,93.15,98.37,100.37
138.54,129.61,119.95,130.57,100.99,100.88,93.21,98.39,100.36
138.55,129.6,119.95,130.56,100.97,100.87,93.24,98.38,100.37
138.53,129.58,119.96,130.56,100.96,100.88,93.21,98.36,100.38
138.49,129.55,119.95,130.53,100.96,100.88,93.19,98.35,100.38
138.47,129.54,119.93,130.51,100.95,100.87,93.19,98.36,100.38
138.48,129.54,119.92,130.5,100.94,100.86,93.2,98.37,100.37
138.49,129.53,119.92,130.5,100.94,100.87,93.21,98.38,100.37
138.49,129.51,119.92,130.5,100.95,100.89,93.23,98.38,100.37
138.47,129.5,119.91,130.48,100.95,100.89,93.25,98.39,100.37
138.45,129.49,119.9,130.48,100.95,100.89,93.26,98.39,100.36
138.43,129.47,119.9,130.48,100.96,100.9,93.25,98.39,100.36
138.42,129.43,119.9,130.47,100.96,100.9,93.25,98.39,100.36
138.41,129.39,119.89,130.44,100.96,100.9,93.27,98.4,100.36
138.41,129.37,119.87,130.42,100.95,100.89,93.3,98.41,100.35
138.41,129.36,119.86,130.41,100.94,100.88,93.3,98.42,100.35
138.4,129.34,119.86,130.4,100.94,100.88,93.29,98.42,100.35
138.4,129.32,119.86,130.39,100.94,100.89,93.28,98.42,100.34
138.39,129.31,119.85,130.37,100.93,100.89,93.29,98.43,100.34
138.38,129.31,119.84,130.36,100.93,100.88,93.3,98.44,100.34
138.38,129.31,119.84,130.36,100.93,100.89,93.3,98.43,100.34
138.37,129.3,119.85,130.36,100.93,100.9,93.29,98.43,100.34
138.36,129.29,119.84,130.35,100.94,100.9,93.29,98.43,100.34
138.35,129.28,119.84,130.34,100.94,100.9,93.3,98.44,100.34
138.35,129.29,119.84,130.34,100.94,100.9,93.31,98.44,100.33
