gas_ftir_scan30_replicate1,gas_ftir_scan30_replicate2,gas_ftir_scan30_replicate3,gas_ftir_scan30_replicate4,gas_ftir_scan30_replicate5,gas_ftir_scan30_replicate6,gas_ftir_scan30_replicate7,gas_ftir_scan30_replicate8,gas_ftir_scan30_replicate9
92.78,106.9,99.76,133.19,129.06,113.44,107.3,128.23,116.79
92.78,106.89,99.76,133.18,129.03,113.43,107.3,128.2,116.79
92.79,106.87,99.76,133.16,129.02,113.42,107.29,128.19,116.77
92.8,106.87,99.77,133.15,129.04,113.42,107.3,128.2,116.75
92.79,106.9,99.77,133.14,129.05,113.43,107.31,128.22,116.75
92.78,106.92,99.79,133.12,129.05,113.45,107.32,128.22,116.76
92.79,106.91,99.81,133.11,129.04,113.46,107.31,128.2,116.76
92.8,106.89,99.82,133.1,129.05,113.47,107.3,128.19,116.75
92.8,106.89,99.81,133.1,129.07,113.47,107.31,128.21,116.74
92.78,106.91,99.8,133.1,129.07,113.47,107.32,128.24,116.76
92.77,106.93,99.8,133.09,129.05,113.47,107.32,128.23,116.77
92.78,106.92,99.81,133.08,129.03,113.47,107.31,128.2,116.77
92.79,106.89,99.81,133.08,129.02,113.47,107.3,128.19,116.76
92.78,106.88,99.8,133.08,129.02,113.47,107.29,128.2,116.76
92.77,106.88,99.77,133.09,129.0,113.46,107.3,128.21,116.78
92.76,106.88,99.75,133.1,128.97,113.45,107.3,128.19,116.8
92.76,106.86,99.72,133.11,128.95,113.44,107.29,128.17,116.8
92.76,106.83,99.7,133.11,128.93,113.43,107.29,128.14,116.79
92.75,106.81,99.69,133.12,128.93,113.42,107.28,128.14,116.79
92.75,106.81,99.67,133.12,128.92,113.42,107.28,128.14,116.79
92.74,106.8,99.66,133.13,128.92,113.41,107.28,128.14,116.8
92.74,106.8,99.65,133.13,128.92,113.41,107.28,128.14,116.8
92.74,106.79,99.65,133.13,128.92,113.41,107.28,128.14,116.79
92.74,106.79,99.65,133.13,128.93,113.41,107.28,128.14,116.79
92.74,106.79,99.64,133.13,128.94,113.41,107.28,128.15,116.79
92.74,106.79,99.64,133.13,128.95,113.41,107.28,128.16,116.79
92.74,106.8,99.65,133.13,128.96,113.42,107.28,128.17,116.79
92.74,106.82,99.66,133.13,128.96,113.42,107.28,128.17,116.79
92.74,106.82,99.67,133.12,128.97,113.43,107.28,128.17,116.79
92.74,106.82,99.68,133.12,128.97,113.43,107.28,128.17,116.78
92.74,106.82,99.68,133.13,128.97,113.43,107.28,128.17,116.78
92.74,106.82,99.67,133.13,128.98,113.43,107.28,128.18,116.78
92.73,106.82,99.66,133.14,128.97,113.42,107.28,128.18,116.79
92.73,106.81,99.66,133.14,128.97,113.42,107.28,128.17,116.79
92.74,106.8,99.66,133.14,128.97,113.42,107.27,128.16,116.78
92.74,106.8,99.66,133.15,128.98,113.42,107.27,128.17,116.77
92.74,106.82,99.66,133.14,128.99,113.42,107.28,128.18,116.77
92.73,106.83,99.66,133.14,128.98,113.42,107.28,128.17,116.78
92.74,106.83,99.67,133.13,128.98,113.42,107.28,128.17,116.77
92.74,106.83,99.68,133.13,128.99,113.42,107.28,128.16,116.76
92.74,106.83,99.68,133.13,128.99,113.42,107.28,128.18,116.76
92.74,106.85,99.69,133.12,129.0,113.43,107.28,128.18,116.77
92.74,106.86,99.7,133.12,128.99,113.43,107.28,128.18,116.77
92.75,106.85,99.71,133.11,128.99,113.44,107.27,128.17,116.76
92.75,106.84,99.71,133.11,128.99,113.44,107.27,128.17,116.75
92.75,106.85,99.71,133.11,129.0,113.43,107.28,128.18,116.76
92.75,106.86,99.7,133.11,128.99,113.43,107.28,128.18,116.76
92.75,106.87,99.7,133.11,128.98,113.43,107.29,128.17,116.76
92.76,106.86,99.71,133.1,128.97,113.43,107.28,128.15,116.75
92.76,106.86,99.72,133.09,128.97,113.43,107.28,128.15,116.74
92.76,106.87,99.72,133.08,128.97,113.43,107.28,128.15,116.74
92.75,106.88,99.72,133.07,128.96,113.43,107.29,128.15,116.75
92.76,106.88,99.72,133.06,128.95,113.42,107.29,128.14,116.74
92.76,106.88,99.73,133.05,128.96,113.42,107.29,128.14,116.74
92.76,106.89,99.73,133.03,128.96,113.43,107.3,128.15,116.74
92.77,106.9,99.75,133.01,128.97,113.43,107.31,128.15,116.73
92.78,106.92,99.77,132.99,128.98,113.44,107.32,128.14,116.73
92.78,106.93,99.79,132.97,128.98,113.45,107.34,128.15,116.72
92.78,106.94,99.81,132.95,128.99,113.47,107.34,128.15,116.71
92.79,106.95,99.83,132.93,128.99,113.48,107.34,128.15,116.7
92.8,106.95,99.85,132.92,129.01,113.49,107.34,128.16,116.68
92.79,106.97,99.86,132.89,129.03,113.5,107.35,128.18,116.68
92.78,106.99,99.87,132.86,129.03,113.51,107.35,128.18,116.69
92.78,106.98,99.87,132.82,129.02,113.52,107.34,128.15,116.7
92.78,106.95,99.87,132.8,129.0,113.52,107.33,128.12,116.7
92.79,106.93,99.86,132.8,129.0,113.51,107.32,128.12,116.68
92.78,106.94,99.84,132.79,128.99,113.5,107.33,128.13,116.68
92.76,106.96,99.82,132.79,128.95,113.48,107.34,128.11,116.69
92.77,106.94,99.82,132.77,128.91,113.47,107.32,128.06,116.67
92.78,106.91,99.82,132.74,128.89,113.46,107.3,128.04,116.65
